cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,age,sex,obese,tar,met
101100000,10,20,30,40,any,any,any,ot1,with
201100000,20,10,30,40,any,any,any,ot1,with
301100000,30,10,20,40,any,any,any,ot1,with
401100000,40,10,20,30,any,any,any,ot1,with
101110000,10,20,30,40,younger,any,any,ot1,with
201110000,20,10,30,40,younger,any,any,ot1,with
301110000,30,10,20,40,younger,any,any,ot1,with
401110000,40,10,20,30,younger,any,any,ot1,with
101130000,10,20,30,40,older,any,any,ot1,with
201130000,20,10,30,40,older,any,any,ot1,with
301130000,30,10,20,40,older,any,any,ot1,with
401130000,40,10,20,30,older,any,any,ot1,with
101101000,10,20,30,40,any,female,any,ot1,with
201101000,20,10,30,40,any,female,any,ot1,with
301101000,30,10,20,40,any,female,any,ot1,with
401101000,40,10,20,30,any,female,any,ot1,with
101102000,10,20,30,40,any,male,any,ot1,with
201102000,20,10,30,40,any,male,any,ot1,with
301102000,30,10,20,40,any,male,any,ot1,with
401102000,40,10,20,30,any,male,any,ot1,with
101100001,10,20,30,40,any,any,with,ot1,with
201100001,20,10,30,40,any,any,with,ot1,with
301100001,30,10,20,40,any,any,with,ot1,with
401100001,40,10,20,30,any,any,with,ot1,with
102100000,10,20,30,40,any,any,any,ot2,with
202100000,20,10,30,40,any,any,any,ot2,with
302100000,30,10,20,40,any,any,any,ot2,with
402100000,40,10,20,30,any,any,any,ot2,with
102110000,10,20,30,40,younger,any,any,ot2,with
202110000,20,10,30,40,younger,any,any,ot2,with
302110000,30,10,20,40,younger,any,any,ot2,with
402110000,40,10,20,30,younger,any,any,ot2,with
102130000,10,20,30,40,older,any,any,ot2,with
202130000,20,10,30,40,older,any,any,ot2,with
302130000,30,10,20,40,older,any,any,ot2,with
402130000,40,10,20,30,older,any,any,ot2,with
102101000,10,20,30,40,any,female,any,ot2,with
202101000,20,10,30,40,any,female,any,ot2,with
302101000,30,10,20,40,any,female,any,ot2,with
402101000,40,10,20,30,any,female,any,ot2,with
102102000,10,20,30,40,any,male,any,ot2,with
202102000,20,10,30,40,any,male,any,ot2,with
302102000,30,10,20,40,any,male,any,ot2,with
402102000,40,10,20,30,any,male,any,ot2,with
102100001,10,20,30,40,any,any,with,ot2,with
202100001,20,10,30,40,any,any,with,ot2,with
302100001,30,10,20,40,any,any,with,ot2,with
402100001,40,10,20,30,any,any,with,ot2,with
101200000,10,20,30,40,any,any,any,ot1,no
201200000,20,10,30,40,any,any,any,ot1,no
301200000,30,10,20,40,any,any,any,ot1,no
401200000,40,10,20,30,any,any,any,ot1,no
101210000,10,20,30,40,younger,any,any,ot1,no
201210000,20,10,30,40,younger,any,any,ot1,no
301210000,30,10,20,40,younger,any,any,ot1,no
401210000,40,10,20,30,younger,any,any,ot1,no
101230000,10,20,30,40,older,any,any,ot1,no
201230000,20,10,30,40,older,any,any,ot1,no
301230000,30,10,20,40,older,any,any,ot1,no
401230000,40,10,20,30,older,any,any,ot1,no
101201000,10,20,30,40,any,female,any,ot1,no
201201000,20,10,30,40,any,female,any,ot1,no
301201000,30,10,20,40,any,female,any,ot1,no
401201000,40,10,20,30,any,female,any,ot1,no
101202000,10,20,30,40,any,male,any,ot1,no
201202000,20,10,30,40,any,male,any,ot1,no
301202000,30,10,20,40,any,male,any,ot1,no
401202000,40,10,20,30,any,male,any,ot1,no
101200001,10,20,30,40,any,any,with,ot1,no
201200001,20,10,30,40,any,any,with,ot1,no
301200001,30,10,20,40,any,any,with,ot1,no
401200001,40,10,20,30,any,any,with,ot1,no
102200000,10,20,30,40,any,any,any,ot2,no
202200000,20,10,30,40,any,any,any,ot2,no
302200000,30,10,20,40,any,any,any,ot2,no
402200000,40,10,20,30,any,any,any,ot2,no
102210000,10,20,30,40,younger,any,any,ot2,no
202210000,20,10,30,40,younger,any,any,ot2,no
302210000,30,10,20,40,younger,any,any,ot2,no
402210000,40,10,20,30,younger,any,any,ot2,no
102230000,10,20,30,40,older,any,any,ot2,no
202230000,20,10,30,40,older,any,any,ot2,no
302230000,30,10,20,40,older,any,any,ot2,no
402230000,40,10,20,30,older,any,any,ot2,no
102201000,10,20,30,40,any,female,any,ot2,no
202201000,20,10,30,40,any,female,any,ot2,no
302201000,30,10,20,40,any,female,any,ot2,no
402201000,40,10,20,30,any,female,any,ot2,no
102202000,10,20,30,40,any,male,any,ot2,no
202202000,20,10,30,40,any,male,any,ot2,no
302202000,30,10,20,40,any,male,any,ot2,no
402202000,40,10,20,30,any,male,any,ot2,no
102200001,10,20,30,40,any,any,with,ot2,no
202200001,20,10,30,40,any,any,with,ot2,no
302200001,30,10,20,40,any,any,with,ot2,no
402200001,40,10,20,30,any,any,with,ot2,no
