atlasid,atlasname,cohortid,name
1010000, main,1010000,class/id1010000
1010001, without-obe,1010001,class/id1010001
1010002, with-obe,1010002,class/id1010002
1010010, female,1010010,class/id1010010
1010030, male,1010030,class/id1010030
1010100, younger-age,1010100,class/id1010100
1010300, older-age,1010300,class/id1010300
1011000, main no-met,1011000,class/id1011000
1011001, no-met without-obe,1011001,class/id1011001
1011002, no-met with-obe,1011002,class/id1011002
1011010, no-met female,1011010,class/id1011010
1011030, no-met male,1011030,class/id1011030
1011100, no-met younger-age,1011100,class/id1011100
1011300, no-met older-age,1011300,class/id1011300
1020000, main ot2,1020000,class/id1020000
1020001, ot2 without-obe,1020001,class/id1020001
1020002, ot2 with-obe,1020002,class/id1020002
1020010, ot2 female,1020010,class/id1020010
1020030, ot2 male,1020030,class/id1020030
1020100, ot2 younger-age,1020100,class/id1020100
1020300, ot2 older-age,1020300,class/id1020300
1021000, main ot2 no-met,1021000,class/id1021000
1021001, ot2 no-met without-obe,1021001,class/id1021001
1021002, ot2 no-met with-obe,1021002,class/id1021002
1021010, ot2 no-met female,1021010,class/id1021010
1021030, ot2 no-met male,1021030,class/id1021030
1021100, ot2 no-met younger-age,1021100,class/id1021100
1021300, ot2 no-met older-age,1021300,class/id1021300
2010000, main,2010000,class/id2010000
2010001, without-obe,2010001,class/id2010001
2010002, with-obe,2010002,class/id2010002
2010010, female,2010010,class/id2010010
2010030, male,2010030,class/id2010030
2010100, younger-age,2010100,class/id2010100
2010300, older-age,2010300,class/id2010300
2011000, main no-met,2011000,class/id2011000
2011001, no-met without-obe,2011001,class/id2011001
2011002, no-met with-obe,2011002,class/id2011002
2011010, no-met female,2011010,class/id2011010
2011030, no-met male,2011030,class/id2011030
2011100, no-met younger-age,2011100,class/id2011100
2011300, no-met older-age,2011300,class/id2011300
2020000, main ot2,2020000,class/id2020000
2020001, ot2 without-obe,2020001,class/id2020001
2020002, ot2 with-obe,2020002,class/id2020002
2020010, ot2 female,2020010,class/id2020010
2020030, ot2 male,2020030,class/id2020030
2020100, ot2 younger-age,2020100,class/id2020100
2020300, ot2 older-age,2020300,class/id2020300
2021000, main ot2 no-met,2021000,class/id2021000
2021001, ot2 no-met without-obe,2021001,class/id2021001
2021002, ot2 no-met with-obe,2021002,class/id2021002
2021010, ot2 no-met female,2021010,class/id2021010
2021030, ot2 no-met male,2021030,class/id2021030
2021100, ot2 no-met younger-age,2021100,class/id2021100
2021300, ot2 no-met older-age,2021300,class/id2021300
3010000, main,3010000,class/id3010000
3010001, without-obe,3010001,class/id3010001
3010002, with-obe,3010002,class/id3010002
3010010, female,3010010,class/id3010010
3010030, male,3010030,class/id3010030
3010100, younger-age,3010100,class/id3010100
3010300, older-age,3010300,class/id3010300
3011000, main no-met,3011000,class/id3011000
3011001, no-met without-obe,3011001,class/id3011001
3011002, no-met with-obe,3011002,class/id3011002
3011010, no-met female,3011010,class/id3011010
3011030, no-met male,3011030,class/id3011030
3011100, no-met younger-age,3011100,class/id3011100
3011300, no-met older-age,3011300,class/id3011300
3020000, main ot2,3020000,class/id3020000
3020001, ot2 without-obe,3020001,class/id3020001
3020002, ot2 with-obe,3020002,class/id3020002
3020010, ot2 female,3020010,class/id3020010
3020030, ot2 male,3020030,class/id3020030
3020100, ot2 younger-age,3020100,class/id3020100
3020300, ot2 older-age,3020300,class/id3020300
3021000, main ot2 no-met,3021000,class/id3021000
3021001, ot2 no-met without-obe,3021001,class/id3021001
3021002, ot2 no-met with-obe,3021002,class/id3021002
3021010, ot2 no-met female,3021010,class/id3021010
3021030, ot2 no-met male,3021030,class/id3021030
3021100, ot2 no-met younger-age,3021100,class/id3021100
3021300, ot2 no-met older-age,3021300,class/id3021300
4010000, main,4010000,class/id4010000
4010001, without-obe,4010001,class/id4010001
4010002, with-obe,4010002,class/id4010002
4010010, female,4010010,class/id4010010
4010030, male,4010030,class/id4010030
4010100, younger-age,4010100,class/id4010100
4010300, older-age,4010300,class/id4010300
4011000, main no-met,4011000,class/id4011000
4011001, no-met without-obe,4011001,class/id4011001
4011002, no-met with-obe,4011002,class/id4011002
4011010, no-met female,4011010,class/id4011010
4011030, no-met male,4011030,class/id4011030
4011100, no-met younger-age,4011100,class/id4011100
4011300, no-met older-age,4011300,class/id4011300
4020000, main ot2,4020000,class/id4020000
4020001, ot2 without-obe,4020001,class/id4020001
4020002, ot2 with-obe,4020002,class/id4020002
4020010, ot2 female,4020010,class/id4020010
4020030, ot2 male,4020030,class/id4020030
4020100, ot2 younger-age,4020100,class/id4020100
4020300, ot2 older-age,4020300,class/id4020300
4021000, main ot2 no-met,4021000,class/id4021000
4021001, ot2 no-met without-obe,4021001,class/id4021001
4021002, ot2 no-met with-obe,4021002,class/id4021002
4021010, ot2 no-met female,4021010,class/id4021010
4021030, ot2 no-met male,4021030,class/id4021030
4021100, ot2 no-met younger-age,4021100,class/id4021100
4021300, ot2 no-met older-age,4021300,class/id4021300
