targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,targetName,comparatorName
1010000,2010000,-1,NA, main, main
1010000,3010000,-1,NA, main, main
1010000,4010000,-1,NA, main, main
2010000,3010000,-1,NA, main, main
2010000,4010000,-1,NA, main, main
3010000,4010000,-1,NA, main, main
1010100,2010100,-1,NA, younger-age, younger-age
1010100,3010100,-1,NA, younger-age, younger-age
1010100,4010100,-1,NA, younger-age, younger-age
2010100,3010100,-1,NA, younger-age, younger-age
2010100,4010100,-1,NA, younger-age, younger-age
3010100,4010100,-1,NA, younger-age, younger-age
1010300,2010300,-1,NA, older-age, older-age
1010300,3010300,-1,NA, older-age, older-age
1010300,4010300,-1,NA, older-age, older-age
2010300,3010300,-1,NA, older-age, older-age
2010300,4010300,-1,NA, older-age, older-age
3010300,4010300,-1,NA, older-age, older-age
1010010,2010010,-1,NA, female, female
1010010,3010010,-1,NA, female, female
1010010,4010010,-1,NA, female, female
2010010,3010010,-1,NA, female, female
2010010,4010010,-1,NA, female, female
3010010,4010010,-1,NA, female, female
1010030,2010030,-1,NA, male, male
1010030,3010030,-1,NA, male, male
1010030,4010030,-1,NA, male, male
2010030,3010030,-1,NA, male, male
2010030,4010030,-1,NA, male, male
3010030,4010030,-1,NA, male, male
1010002,2010002,-1,NA, with-obe, with-obe
1010002,3010002,-1,NA, with-obe, with-obe
1010002,4010002,-1,NA, with-obe, with-obe
2010002,3010002,-1,NA, with-obe, with-obe
2010002,4010002,-1,NA, with-obe, with-obe
3010002,4010002,-1,NA, with-obe, with-obe
1020000,2020000,-1,NA, main ot2, main ot2
1020000,3020000,-1,NA, main ot2, main ot2
1020000,4020000,-1,NA, main ot2, main ot2
2020000,3020000,-1,NA, main ot2, main ot2
2020000,4020000,-1,NA, main ot2, main ot2
3020000,4020000,-1,NA, main ot2, main ot2
1020100,2020100,-1,NA, ot2 younger-age, ot2 younger-age
1020100,3020100,-1,NA, ot2 younger-age, ot2 younger-age
1020100,4020100,-1,NA, ot2 younger-age, ot2 younger-age
2020100,3020100,-1,NA, ot2 younger-age, ot2 younger-age
2020100,4020100,-1,NA, ot2 younger-age, ot2 younger-age
3020100,4020100,-1,NA, ot2 younger-age, ot2 younger-age
1020300,2020300,-1,NA, ot2 older-age, ot2 older-age
1020300,3020300,-1,NA, ot2 older-age, ot2 older-age
1020300,4020300,-1,NA, ot2 older-age, ot2 older-age
2020300,3020300,-1,NA, ot2 older-age, ot2 older-age
2020300,4020300,-1,NA, ot2 older-age, ot2 older-age
3020300,4020300,-1,NA, ot2 older-age, ot2 older-age
1020010,2020010,-1,NA, ot2 female, ot2 female
1020010,3020010,-1,NA, ot2 female, ot2 female
1020010,4020010,-1,NA, ot2 female, ot2 female
2020010,3020010,-1,NA, ot2 female, ot2 female
2020010,4020010,-1,NA, ot2 female, ot2 female
3020010,4020010,-1,NA, ot2 female, ot2 female
1020030,2020030,-1,NA, ot2 male, ot2 male
1020030,3020030,-1,NA, ot2 male, ot2 male
1020030,4020030,-1,NA, ot2 male, ot2 male
2020030,3020030,-1,NA, ot2 male, ot2 male
2020030,4020030,-1,NA, ot2 male, ot2 male
3020030,4020030,-1,NA, ot2 male, ot2 male
1020002,2020002,-1,NA, ot2 with-obe, ot2 with-obe
1020002,3020002,-1,NA, ot2 with-obe, ot2 with-obe
1020002,4020002,-1,NA, ot2 with-obe, ot2 with-obe
2020002,3020002,-1,NA, ot2 with-obe, ot2 with-obe
2020002,4020002,-1,NA, ot2 with-obe, ot2 with-obe
3020002,4020002,-1,NA, ot2 with-obe, ot2 with-obe
