atlasId,atlasName,cohortId,name
111100000,alogliptin main,111100000,dpp4i/ID111100000
111110000,alogliptin younger-age,111110000,dpp4i/ID111110000
111130000,alogliptin older-age,111130000,dpp4i/ID111130000
111101000,alogliptin female,111101000,dpp4i/ID111101000
111102000,alogliptin male,111102000,dpp4i/ID111102000
111100001,alogliptin -obe,111100001,dpp4i/ID111100001
112100000,alogliptin main ot2,112100000,dpp4i/ID112100000
112110000,alogliptin ot2 younger-age,112110000,dpp4i/ID112110000
112130000,alogliptin ot2 older-age,112130000,dpp4i/ID112130000
112101000,alogliptin ot2 female,112101000,dpp4i/ID112101000
112102000,alogliptin ot2 male,112102000,dpp4i/ID112102000
112100001,alogliptin ot2 -obe,112100001,dpp4i/ID112100001
111200000,alogliptin main no-met,111200000,dpp4i/ID111200000
111210000,alogliptin no-met younger-age,111210000,dpp4i/ID111210000
111230000,alogliptin no-met older-age,111230000,dpp4i/ID111230000
111201000,alogliptin no-met female,111201000,dpp4i/ID111201000
111202000,alogliptin no-met male,111202000,dpp4i/ID111202000
111200001,alogliptin no-met -obe,111200001,dpp4i/ID111200001
112200000,alogliptin main ot2 no-met,112200000,dpp4i/ID112200000
112210000,alogliptin ot2 no-met younger-age,112210000,dpp4i/ID112210000
112230000,alogliptin ot2 no-met older-age,112230000,dpp4i/ID112230000
112201000,alogliptin ot2 no-met female,112201000,dpp4i/ID112201000
112202000,alogliptin ot2 no-met male,112202000,dpp4i/ID112202000
112200001,alogliptin ot2 no-met -obe,112200001,dpp4i/ID112200001
121100000,linagliptin main,121100000,dpp4i/ID121100000
121110000,linagliptin younger-age,121110000,dpp4i/ID121110000
121130000,linagliptin older-age,121130000,dpp4i/ID121130000
121101000,linagliptin female,121101000,dpp4i/ID121101000
121102000,linagliptin male,121102000,dpp4i/ID121102000
121100001,linagliptin -obe,121100001,dpp4i/ID121100001
122100000,linagliptin main ot2,122100000,dpp4i/ID122100000
122110000,linagliptin ot2 younger-age,122110000,dpp4i/ID122110000
122130000,linagliptin ot2 older-age,122130000,dpp4i/ID122130000
122101000,linagliptin ot2 female,122101000,dpp4i/ID122101000
122102000,linagliptin ot2 male,122102000,dpp4i/ID122102000
122100001,linagliptin ot2 -obe,122100001,dpp4i/ID122100001
121200000,linagliptin main no-met,121200000,dpp4i/ID121200000
121210000,linagliptin no-met younger-age,121210000,dpp4i/ID121210000
121230000,linagliptin no-met older-age,121230000,dpp4i/ID121230000
121201000,linagliptin no-met female,121201000,dpp4i/ID121201000
121202000,linagliptin no-met male,121202000,dpp4i/ID121202000
121200001,linagliptin no-met -obe,121200001,dpp4i/ID121200001
122200000,linagliptin main ot2 no-met,122200000,dpp4i/ID122200000
122210000,linagliptin ot2 no-met younger-age,122210000,dpp4i/ID122210000
122230000,linagliptin ot2 no-met older-age,122230000,dpp4i/ID122230000
122201000,linagliptin ot2 no-met female,122201000,dpp4i/ID122201000
122202000,linagliptin ot2 no-met male,122202000,dpp4i/ID122202000
122200001,linagliptin ot2 no-met -obe,122200001,dpp4i/ID122200001
131100000,saxagliptin main,131100000,dpp4i/ID131100000
131110000,saxagliptin younger-age,131110000,dpp4i/ID131110000
131130000,saxagliptin older-age,131130000,dpp4i/ID131130000
131101000,saxagliptin female,131101000,dpp4i/ID131101000
131102000,saxagliptin male,131102000,dpp4i/ID131102000
131100001,saxagliptin -obe,131100001,dpp4i/ID131100001
132100000,saxagliptin main ot2,132100000,dpp4i/ID132100000
132110000,saxagliptin ot2 younger-age,132110000,dpp4i/ID132110000
132130000,saxagliptin ot2 older-age,132130000,dpp4i/ID132130000
132101000,saxagliptin ot2 female,132101000,dpp4i/ID132101000
132102000,saxagliptin ot2 male,132102000,dpp4i/ID132102000
132100001,saxagliptin ot2 -obe,132100001,dpp4i/ID132100001
131200000,saxagliptin main no-met,131200000,dpp4i/ID131200000
131210000,saxagliptin no-met younger-age,131210000,dpp4i/ID131210000
131230000,saxagliptin no-met older-age,131230000,dpp4i/ID131230000
131201000,saxagliptin no-met female,131201000,dpp4i/ID131201000
131202000,saxagliptin no-met male,131202000,dpp4i/ID131202000
131200001,saxagliptin no-met -obe,131200001,dpp4i/ID131200001
132200000,saxagliptin main ot2 no-met,132200000,dpp4i/ID132200000
132210000,saxagliptin ot2 no-met younger-age,132210000,dpp4i/ID132210000
132230000,saxagliptin ot2 no-met older-age,132230000,dpp4i/ID132230000
132201000,saxagliptin ot2 no-met female,132201000,dpp4i/ID132201000
132202000,saxagliptin ot2 no-met male,132202000,dpp4i/ID132202000
132200001,saxagliptin ot2 no-met -obe,132200001,dpp4i/ID132200001
141100000,sitagliptin main,141100000,dpp4i/ID141100000
141110000,sitagliptin younger-age,141110000,dpp4i/ID141110000
141130000,sitagliptin older-age,141130000,dpp4i/ID141130000
