targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,targetName,comparatorName
1110000,1210000,-1,NA,alogliptin,linagliptin
1110000,1310000,-1,NA,alogliptin,saxagliptin
1110000,1410000,-1,NA,alogliptin,sitagliptin
1110000,1510000,-1,NA,alogliptin,vildagliptin
1210000,1310000,-1,NA,linagliptin,saxagliptin
1210000,1410000,-1,NA,linagliptin,sitagliptin
1210000,1510000,-1,NA,linagliptin,vildagliptin
1310000,1410000,-1,NA,saxagliptin,sitagliptin
1310000,1510000,-1,NA,saxagliptin,vildagliptin
1410000,1510000,-1,NA,sitagliptin,vildagliptin
1110100,1210100,-1,NA,alogliptin,linagliptin
1110100,1310100,-1,NA,alogliptin,saxagliptin
1110100,1410100,-1,NA,alogliptin,sitagliptin
1110100,1510100,-1,NA,alogliptin,vildagliptin
1210100,1310100,-1,NA,linagliptin,saxagliptin
1210100,1410100,-1,NA,linagliptin,sitagliptin
1210100,1510100,-1,NA,linagliptin,vildagliptin
1310100,1410100,-1,NA,saxagliptin,sitagliptin
1310100,1510100,-1,NA,saxagliptin,vildagliptin
1410100,1510100,-1,NA,sitagliptin,vildagliptin
1110300,1210300,-1,NA,alogliptin,linagliptin
1110300,1310300,-1,NA,alogliptin,saxagliptin
1110300,1410300,-1,NA,alogliptin,sitagliptin
1110300,1510300,-1,NA,alogliptin,vildagliptin
1210300,1310300,-1,NA,linagliptin,saxagliptin
1210300,1410300,-1,NA,linagliptin,sitagliptin
1210300,1510300,-1,NA,linagliptin,vildagliptin
1310300,1410300,-1,NA,saxagliptin,sitagliptin
1310300,1510300,-1,NA,saxagliptin,vildagliptin
1410300,1510300,-1,NA,sitagliptin,vildagliptin
1110010,1210010,-1,NA,alogliptin,linagliptin
1110010,1310010,-1,NA,alogliptin,saxagliptin
1110010,1410010,-1,NA,alogliptin,sitagliptin
1110010,1510010,-1,NA,alogliptin,vildagliptin
1210010,1310010,-1,NA,linagliptin,saxagliptin
1210010,1410010,-1,NA,linagliptin,sitagliptin
1210010,1510010,-1,NA,linagliptin,vildagliptin
1310010,1410010,-1,NA,saxagliptin,sitagliptin
1310010,1510010,-1,NA,saxagliptin,vildagliptin
1410010,1510010,-1,NA,sitagliptin,vildagliptin
1110030,1210030,-1,NA,alogliptin,linagliptin
1110030,1310030,-1,NA,alogliptin,saxagliptin
1110030,1410030,-1,NA,alogliptin,sitagliptin
1110030,1510030,-1,NA,alogliptin,vildagliptin
1210030,1310030,-1,NA,linagliptin,saxagliptin
1210030,1410030,-1,NA,linagliptin,sitagliptin
1210030,1510030,-1,NA,linagliptin,vildagliptin
1310030,1410030,-1,NA,saxagliptin,sitagliptin
1310030,1510030,-1,NA,saxagliptin,vildagliptin
1410030,1510030,-1,NA,sitagliptin,vildagliptin
1110002,1210002,-1,NA,alogliptin,linagliptin
1110002,1310002,-1,NA,alogliptin,saxagliptin
1110002,1410002,-1,NA,alogliptin,sitagliptin
1110002,1510002,-1,NA,alogliptin,vildagliptin
1210002,1310002,-1,NA,linagliptin,saxagliptin
1210002,1410002,-1,NA,linagliptin,sitagliptin
1210002,1510002,-1,NA,linagliptin,vildagliptin
1310002,1410002,-1,NA,saxagliptin,sitagliptin
1310002,1510002,-1,NA,saxagliptin,vildagliptin
1410002,1510002,-1,NA,sitagliptin,vildagliptin
1110001,1210001,-1,NA,alogliptin,linagliptin
1110001,1310001,-1,NA,alogliptin,saxagliptin
1110001,1410001,-1,NA,alogliptin,sitagliptin
1110001,1510001,-1,NA,alogliptin,vildagliptin
1210001,1310001,-1,NA,linagliptin,saxagliptin
1210001,1410001,-1,NA,linagliptin,sitagliptin
1210001,1510001,-1,NA,linagliptin,vildagliptin
1310001,1410001,-1,NA,saxagliptin,sitagliptin
1310001,1510001,-1,NA,saxagliptin,vildagliptin
1410001,1510001,-1,NA,sitagliptin,vildagliptin
1120000,1220000,-1,NA,alogliptin,linagliptin
