atlasid,atlasname,cohortid,name
1111000,alogliptin,1111000,dpp4i/id1111000
1111100,alogliptin,1111100,dpp4i/id1111100
1111300,alogliptin,1111300,dpp4i/id1111300
1111010,alogliptin,1111010,dpp4i/id1111010
1111030,alogliptin,1111030,dpp4i/id1111030
1111002,alogliptin,1111002,dpp4i/id1111002
1111001,alogliptin,1111001,dpp4i/id1111001
1110000,alogliptin,1110000,dpp4i/id1110000
1110100,alogliptin,1110100,dpp4i/id1110100
1110300,alogliptin,1110300,dpp4i/id1110300
1110010,alogliptin,1110010,dpp4i/id1110010
1110030,alogliptin,1110030,dpp4i/id1110030
1110002,alogliptin,1110002,dpp4i/id1110002
1110001,alogliptin,1110001,dpp4i/id1110001
1121000,alogliptin,1121000,dpp4i/id1121000
1121100,alogliptin,1121100,dpp4i/id1121100
1121300,alogliptin,1121300,dpp4i/id1121300
1121010,alogliptin,1121010,dpp4i/id1121010
1121030,alogliptin,1121030,dpp4i/id1121030
1121002,alogliptin,1121002,dpp4i/id1121002
1121001,alogliptin,1121001,dpp4i/id1121001
1120000,alogliptin,1120000,dpp4i/id1120000
1120100,alogliptin,1120100,dpp4i/id1120100
1120300,alogliptin,1120300,dpp4i/id1120300
1120010,alogliptin,1120010,dpp4i/id1120010
1120030,alogliptin,1120030,dpp4i/id1120030
1120002,alogliptin,1120002,dpp4i/id1120002
1120001,alogliptin,1120001,dpp4i/id1120001
1211000,linagliptin,1211000,dpp4i/id1211000
1211100,linagliptin,1211100,dpp4i/id1211100
1211300,linagliptin,1211300,dpp4i/id1211300
1211010,linagliptin,1211010,dpp4i/id1211010
1211030,linagliptin,1211030,dpp4i/id1211030
1211002,linagliptin,1211002,dpp4i/id1211002
1211001,linagliptin,1211001,dpp4i/id1211001
1210000,linagliptin,1210000,dpp4i/id1210000
1210100,linagliptin,1210100,dpp4i/id1210100
1210300,linagliptin,1210300,dpp4i/id1210300
1210010,linagliptin,1210010,dpp4i/id1210010
1210030,linagliptin,1210030,dpp4i/id1210030
1210002,linagliptin,1210002,dpp4i/id1210002
1210001,linagliptin,1210001,dpp4i/id1210001
1221000,linagliptin,1221000,dpp4i/id1221000
1221100,linagliptin,1221100,dpp4i/id1221100
1221300,linagliptin,1221300,dpp4i/id1221300
1221010,linagliptin,1221010,dpp4i/id1221010
1221030,linagliptin,1221030,dpp4i/id1221030
1221002,linagliptin,1221002,dpp4i/id1221002
1221001,linagliptin,1221001,dpp4i/id1221001
1220000,linagliptin,1220000,dpp4i/id1220000
1220100,linagliptin,1220100,dpp4i/id1220100
1220300,linagliptin,1220300,dpp4i/id1220300
1220010,linagliptin,1220010,dpp4i/id1220010
1220030,linagliptin,1220030,dpp4i/id1220030
1220002,linagliptin,1220002,dpp4i/id1220002
1220001,linagliptin,1220001,dpp4i/id1220001
1311000,saxagliptin,1311000,dpp4i/id1311000
1311100,saxagliptin,1311100,dpp4i/id1311100
1311300,saxagliptin,1311300,dpp4i/id1311300
1311010,saxagliptin,1311010,dpp4i/id1311010
1311030,saxagliptin,1311030,dpp4i/id1311030
1311002,saxagliptin,1311002,dpp4i/id1311002
1311001,saxagliptin,1311001,dpp4i/id1311001
1310000,saxagliptin,1310000,dpp4i/id1310000
