targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,targetName,comparatorName
1111000,1211000,-1,NA,alogliptin main,linagliptin main
1111100,1211100,-1,NA,alogliptin younger-age,linagliptin younger-age
1111300,1211300,-1,NA,alogliptin older-age,linagliptin older-age
1111010,1211010,-1,NA,alogliptin female,linagliptin female
1111020,1211020,-1,NA,alogliptin male,linagliptin male
1111001,1211001,-1,NA,alogliptin with-obe,linagliptin with-obe
1121000,1221000,-1,NA,alogliptin main ot2,linagliptin main ot2
1121100,1221100,-1,NA,alogliptin ot2 younger-age,linagliptin ot2 younger-age
1121300,1221300,-1,NA,alogliptin ot2 older-age,linagliptin ot2 older-age
1121010,1221010,-1,NA,alogliptin ot2 female,linagliptin ot2 female
1121020,1221020,-1,NA,alogliptin ot2 male,linagliptin ot2 male
1121001,1221001,-1,NA,alogliptin ot2 with-obe,linagliptin ot2 with-obe
1112000,1212000,-1,NA,alogliptin main no-met,linagliptin main no-met
1112100,1212100,-1,NA,alogliptin no-met younger-age,linagliptin no-met younger-age
1112300,1212300,-1,NA,alogliptin no-met older-age,linagliptin no-met older-age
1112010,1212010,-1,NA,alogliptin no-met female,linagliptin no-met female
1112020,1212020,-1,NA,alogliptin no-met male,linagliptin no-met male
1112001,1212001,-1,NA,alogliptin no-met with-obe,linagliptin no-met with-obe
1122000,1222000,-1,NA,alogliptin main ot2 no-met,linagliptin main ot2 no-met
1122100,1222100,-1,NA,alogliptin ot2 no-met younger-age,linagliptin ot2 no-met younger-age
1122300,1222300,-1,NA,alogliptin ot2 no-met older-age,linagliptin ot2 no-met older-age
1122010,1222010,-1,NA,alogliptin ot2 no-met female,linagliptin ot2 no-met female
1122020,1222020,-1,NA,alogliptin ot2 no-met male,linagliptin ot2 no-met male
1122001,1222001,-1,NA,alogliptin ot2 no-met with-obe,linagliptin ot2 no-met with-obe
1111000,1311000,-1,NA,alogliptin main,saxagliptin main
1111100,1311100,-1,NA,alogliptin younger-age,saxagliptin younger-age
1111300,1311300,-1,NA,alogliptin older-age,saxagliptin older-age
1111010,1311010,-1,NA,alogliptin female,saxagliptin female
1111020,1311020,-1,NA,alogliptin male,saxagliptin male
1111001,1311001,-1,NA,alogliptin with-obe,saxagliptin with-obe
1121000,1321000,-1,NA,alogliptin main ot2,saxagliptin main ot2
1121100,1321100,-1,NA,alogliptin ot2 younger-age,saxagliptin ot2 younger-age
1121300,1321300,-1,NA,alogliptin ot2 older-age,saxagliptin ot2 older-age
1121010,1321010,-1,NA,alogliptin ot2 female,saxagliptin ot2 female
1121020,1321020,-1,NA,alogliptin ot2 male,saxagliptin ot2 male
1121001,1321001,-1,NA,alogliptin ot2 with-obe,saxagliptin ot2 with-obe
1112000,1312000,-1,NA,alogliptin main no-met,saxagliptin main no-met
1112100,1312100,-1,NA,alogliptin no-met younger-age,saxagliptin no-met younger-age
1112300,1312300,-1,NA,alogliptin no-met older-age,saxagliptin no-met older-age
1112010,1312010,-1,NA,alogliptin no-met female,saxagliptin no-met female
1112020,1312020,-1,NA,alogliptin no-met male,saxagliptin no-met male
1112001,1312001,-1,NA,alogliptin no-met with-obe,saxagliptin no-met with-obe
1122000,1322000,-1,NA,alogliptin main ot2 no-met,saxagliptin main ot2 no-met
1122100,1322100,-1,NA,alogliptin ot2 no-met younger-age,saxagliptin ot2 no-met younger-age
