targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,targetName,comparatorName
2110000,2210000,-1,NA,albiglutide,dulaglutide
2110000,2310000,-1,NA,albiglutide,exenatide
2110000,2410000,-1,NA,albiglutide,liraglutide
2110000,2510000,-1,NA,albiglutide,lixisenatide
2110000,2610000,-1,NA,albiglutide,semaglutide
2110000,2710000,-1,NA,albiglutide,tirzepatide
2110000,2810000,-1,NA,albiglutide,efpeglenatide
2210000,2310000,-1,NA,dulaglutide,exenatide
2210000,2410000,-1,NA,dulaglutide,liraglutide
2210000,2510000,-1,NA,dulaglutide,lixisenatide
2210000,2610000,-1,NA,dulaglutide,semaglutide
2210000,2710000,-1,NA,dulaglutide,tirzepatide
2210000,2810000,-1,NA,dulaglutide,efpeglenatide
2310000,2410000,-1,NA,exenatide,liraglutide
2310000,2510000,-1,NA,exenatide,lixisenatide
2310000,2610000,-1,NA,exenatide,semaglutide
2310000,2710000,-1,NA,exenatide,tirzepatide
2310000,2810000,-1,NA,exenatide,efpeglenatide
2410000,2510000,-1,NA,liraglutide,lixisenatide
2410000,2610000,-1,NA,liraglutide,semaglutide
2410000,2710000,-1,NA,liraglutide,tirzepatide
2410000,2810000,-1,NA,liraglutide,efpeglenatide
2510000,2610000,-1,NA,lixisenatide,semaglutide
2510000,2710000,-1,NA,lixisenatide,tirzepatide
2510000,2810000,-1,NA,lixisenatide,efpeglenatide
2610000,2710000,-1,NA,semaglutide,tirzepatide
2610000,2810000,-1,NA,semaglutide,efpeglenatide
2710000,2810000,-1,NA,tirzepatide,efpeglenatide
2110100,2210100,-1,NA,albiglutide,dulaglutide
2110100,2310100,-1,NA,albiglutide,exenatide
2110100,2410100,-1,NA,albiglutide,liraglutide
2110100,2510100,-1,NA,albiglutide,lixisenatide
2110100,2610100,-1,NA,albiglutide,semaglutide
2110100,2710100,-1,NA,albiglutide,tirzepatide
2110100,2810100,-1,NA,albiglutide,efpeglenatide
2210100,2310100,-1,NA,dulaglutide,exenatide
2210100,2410100,-1,NA,dulaglutide,liraglutide
2210100,2510100,-1,NA,dulaglutide,lixisenatide
2210100,2610100,-1,NA,dulaglutide,semaglutide
2210100,2710100,-1,NA,dulaglutide,tirzepatide
2210100,2810100,-1,NA,dulaglutide,efpeglenatide
2310100,2410100,-1,NA,exenatide,liraglutide
2310100,2510100,-1,NA,exenatide,lixisenatide
2310100,2610100,-1,NA,exenatide,semaglutide
2310100,2710100,-1,NA,exenatide,tirzepatide
2310100,2810100,-1,NA,exenatide,efpeglenatide
2410100,2510100,-1,NA,liraglutide,lixisenatide
2410100,2610100,-1,NA,liraglutide,semaglutide
2410100,2710100,-1,NA,liraglutide,tirzepatide
2410100,2810100,-1,NA,liraglutide,efpeglenatide
2510100,2610100,-1,NA,lixisenatide,semaglutide
2510100,2710100,-1,NA,lixisenatide,tirzepatide
2510100,2810100,-1,NA,lixisenatide,efpeglenatide
2610100,2710100,-1,NA,semaglutide,tirzepatide
2610100,2810100,-1,NA,semaglutide,efpeglenatide
2710100,2810100,-1,NA,tirzepatide,efpeglenatide
2110300,2210300,-1,NA,albiglutide,dulaglutide
2110300,2310300,-1,NA,albiglutide,exenatide
2110300,2410300,-1,NA,albiglutide,liraglutide
2110300,2510300,-1,NA,albiglutide,lixisenatide
2110300,2610300,-1,NA,albiglutide,semaglutide
2110300,2710300,-1,NA,albiglutide,tirzepatide
2110300,2810300,-1,NA,albiglutide,efpeglenatide
2210300,2310300,-1,NA,dulaglutide,exenatide
