atlasid,atlasname,cohortid,name
3110000,canagliflozin,3110000,sglt2i/id3110000
3110001,canagliflozin,3110001,sglt2i/id3110001
3110002,canagliflozin,3110002,sglt2i/id3110002
3110010,canagliflozin,3110010,sglt2i/id3110010
3110030,canagliflozin,3110030,sglt2i/id3110030
3110100,canagliflozin,3110100,sglt2i/id3110100
3110300,canagliflozin,3110300,sglt2i/id3110300
3111000,canagliflozin,3111000,sglt2i/id3111000
3111001,canagliflozin,3111001,sglt2i/id3111001
3111002,canagliflozin,3111002,sglt2i/id3111002
3111010,canagliflozin,3111010,sglt2i/id3111010
3111030,canagliflozin,3111030,sglt2i/id3111030
3111100,canagliflozin,3111100,sglt2i/id3111100
3111300,canagliflozin,3111300,sglt2i/id3111300
3120000,canagliflozin,3120000,sglt2i/id3120000
3120001,canagliflozin,3120001,sglt2i/id3120001
3120002,canagliflozin,3120002,sglt2i/id3120002
3120010,canagliflozin,3120010,sglt2i/id3120010
3120030,canagliflozin,3120030,sglt2i/id3120030
3120100,canagliflozin,3120100,sglt2i/id3120100
3120300,canagliflozin,3120300,sglt2i/id3120300
3121000,canagliflozin,3121000,sglt2i/id3121000
3121001,canagliflozin,3121001,sglt2i/id3121001
3121002,canagliflozin,3121002,sglt2i/id3121002
3121010,canagliflozin,3121010,sglt2i/id3121010
3121030,canagliflozin,3121030,sglt2i/id3121030
3121100,canagliflozin,3121100,sglt2i/id3121100
3121300,canagliflozin,3121300,sglt2i/id3121300
3210000,dapagliflozin,3210000,sglt2i/id3210000
3210001,dapagliflozin,3210001,sglt2i/id3210001
3210002,dapagliflozin,3210002,sglt2i/id3210002
3210010,dapagliflozin,3210010,sglt2i/id3210010
3210030,dapagliflozin,3210030,sglt2i/id3210030
3210100,dapagliflozin,3210100,sglt2i/id3210100
3210300,dapagliflozin,3210300,sglt2i/id3210300
3211000,dapagliflozin,3211000,sglt2i/id3211000
3211001,dapagliflozin,3211001,sglt2i/id3211001
3211002,dapagliflozin,3211002,sglt2i/id3211002
3211010,dapagliflozin,3211010,sglt2i/id3211010
3211030,dapagliflozin,3211030,sglt2i/id3211030
3211100,dapagliflozin,3211100,sglt2i/id3211100
3211300,dapagliflozin,3211300,sglt2i/id3211300
3220000,dapagliflozin,3220000,sglt2i/id3220000
3220001,dapagliflozin,3220001,sglt2i/id3220001
3220002,dapagliflozin,3220002,sglt2i/id3220002
3220010,dapagliflozin,3220010,sglt2i/id3220010
3220030,dapagliflozin,3220030,sglt2i/id3220030
3220100,dapagliflozin,3220100,sglt2i/id3220100
3220300,dapagliflozin,3220300,sglt2i/id3220300
3221000,dapagliflozin,3221000,sglt2i/id3221000
3221001,dapagliflozin,3221001,sglt2i/id3221001
3221002,dapagliflozin,3221002,sglt2i/id3221002
3221010,dapagliflozin,3221010,sglt2i/id3221010
3221030,dapagliflozin,3221030,sglt2i/id3221030
3221100,dapagliflozin,3221100,sglt2i/id3221100
3221300,dapagliflozin,3221300,sglt2i/id3221300
3310000,empagliflozin,3310000,sglt2i/id3310000
3310001,empagliflozin,3310001,sglt2i/id3310001
3310002,empagliflozin,3310002,sglt2i/id3310002
3310010,empagliflozin,3310010,sglt2i/id3310010
3310030,empagliflozin,3310030,sglt2i/id3310030
3310100,empagliflozin,3310100,sglt2i/id3310100
3310300,empagliflozin,3310300,sglt2i/id3310300
3311000,empagliflozin,3311000,sglt2i/id3311000
3311001,empagliflozin,3311001,sglt2i/id3311001
3311002,empagliflozin,3311002,sglt2i/id3311002
3311010,empagliflozin,3311010,sglt2i/id3311010
3311030,empagliflozin,3311030,sglt2i/id3311030
3311100,empagliflozin,3311100,sglt2i/id3311100
3311300,empagliflozin,3311300,sglt2i/id3311300
3320000,empagliflozin,3320000,sglt2i/id3320000
3320001,empagliflozin,3320001,sglt2i/id3320001
3320002,empagliflozin,3320002,sglt2i/id3320002
3320010,empagliflozin,3320010,sglt2i/id3320010
3320030,empagliflozin,3320030,sglt2i/id3320030
3320100,empagliflozin,3320100,sglt2i/id3320100
3320300,empagliflozin,3320300,sglt2i/id3320300
3321000,empagliflozin,3321000,sglt2i/id3321000
3321001,empagliflozin,3321001,sglt2i/id3321001
3321002,empagliflozin,3321002,sglt2i/id3321002
3321010,empagliflozin,3321010,sglt2i/id3321010
3321030,empagliflozin,3321030,sglt2i/id3321030
3321100,empagliflozin,3321100,sglt2i/id3321100
3321300,empagliflozin,3321300,sglt2i/id3321300
3410000,ertugliflozin,3410000,sglt2i/id3410000
3410001,ertugliflozin,3410001,sglt2i/id3410001
3410002,ertugliflozin,3410002,sglt2i/id3410002
3410010,ertugliflozin,3410010,sglt2i/id3410010
3410030,ertugliflozin,3410030,sglt2i/id3410030
3410100,ertugliflozin,3410100,sglt2i/id3410100
3410300,ertugliflozin,3410300,sglt2i/id3410300
3411000,ertugliflozin,3411000,sglt2i/id3411000
3411001,ertugliflozin,3411001,sglt2i/id3411001
3411002,ertugliflozin,3411002,sglt2i/id3411002
3411010,ertugliflozin,3411010,sglt2i/id3411010
3411030,ertugliflozin,3411030,sglt2i/id3411030
3411100,ertugliflozin,3411100,sglt2i/id3411100
3411300,ertugliflozin,3411300,sglt2i/id3411300
3420000,ertugliflozin,3420000,sglt2i/id3420000
3420001,ertugliflozin,3420001,sglt2i/id3420001
3420002,ertugliflozin,3420002,sglt2i/id3420002
3420010,ertugliflozin,3420010,sglt2i/id3420010
3420030,ertugliflozin,3420030,sglt2i/id3420030
3420100,ertugliflozin,3420100,sglt2i/id3420100
3420300,ertugliflozin,3420300,sglt2i/id3420300
3421000,ertugliflozin,3421000,sglt2i/id3421000
