cohortDefinitionId,ruleSequence,name
211100000,0,No prior with-in class exposure
211100000,1,No prior DPP4 inhibitor exposure
211100000,2,No prior SGLT-2 inhibitor exposure
211100000,3,No prior SU exposure
211100000,4,No prior other anti-diabetic exposure
211100000,5,Prior metformin use
211100000,6,No prior insulin use or combo initiation
211110000,0,No prior with-in class exposure
211110000,1,No prior DPP4 inhibitor exposure
211110000,2,No prior SGLT-2 inhibitor exposure
211110000,3,No prior SU exposure
211110000,4,No prior other anti-diabetic exposure
211110000,5,Lower age group
211110000,6,Prior metformin use
211110000,7,No prior insulin use or combo initiation
211120000,0,No prior with-in class exposure
211120000,1,No prior DPP4 inhibitor exposure
211120000,2,No prior SGLT-2 inhibitor exposure
211120000,3,No prior SU exposure
211120000,4,No prior other anti-diabetic exposure
211120000,5,Middle age group
211120000,6,Prior metformin use
211120000,7,No prior insulin use or combo initiation
211130000,0,No prior with-in class exposure
211130000,1,No prior DPP4 inhibitor exposure
211130000,2,No prior SGLT-2 inhibitor exposure
211130000,3,No prior SU exposure
211130000,4,No prior other anti-diabetic exposure
211130000,5,Older age group
211130000,6,Prior metformin use
211130000,7,No prior insulin use or combo initiation
211100010,0,No prior with-in class exposure
211100010,1,No prior DPP4 inhibitor exposure
211100010,2,No prior SGLT-2 inhibitor exposure
211100010,3,No prior SU exposure
211100010,4,No prior other anti-diabetic exposure
211100010,5,Low cardiovascular risk
211100010,6,Prior metformin use
211100010,7,No prior insulin use or combo initiation
211100020,0,No prior with-in class exposure
211100020,1,No prior DPP4 inhibitor exposure
211100020,2,No prior SGLT-2 inhibitor exposure
211100020,3,No prior SU exposure
211100020,4,No prior other anti-diabetic exposure
211100020,5,Higher cardiovascular risk
211100020,6,Prior metformin use
211100020,7,No prior insulin use or combo initiation
211101000,0,No prior with-in class exposure
211101000,1,No prior DPP4 inhibitor exposure
211101000,2,No prior SGLT-2 inhibitor exposure
211101000,3,No prior SU exposure
211101000,4,No prior other anti-diabetic exposure
211101000,5,Female stratum
211101000,6,Prior metformin use
211101000,7,No prior insulin use or combo initiation
211102000,0,No prior with-in class exposure
211102000,1,No prior DPP4 inhibitor exposure
211102000,2,No prior SGLT-2 inhibitor exposure
211102000,3,No prior SU exposure
211102000,4,No prior other anti-diabetic exposure
211102000,5,Male stratum
211102000,6,Prior metformin use
211102000,7,No prior insulin use or combo initiation
211100100,0,No prior with-in class exposure
211100100,1,No prior DPP4 inhibitor exposure
211100100,2,No prior SGLT-2 inhibitor exposure
211100100,3,No prior SU exposure
211100100,4,No prior other anti-diabetic exposure
211100100,5,Race stratum
211100100,6,Prior metformin use
211100100,7,No prior insulin use or combo initiation
211100001,0,No prior with-in class exposure
211100001,1,No prior DPP4 inhibitor exposure
211100001,2,No prior SGLT-2 inhibitor exposure
211100001,3,No prior SU exposure
211100001,4,No prior other anti-diabetic exposure
211100001,5,Without renal impairment
211100001,6,Prior metformin use
211100001,7,No prior insulin use or combo initiation
211100002,0,No prior with-in class exposure
