cohortDefinitionId,baseCount,finalCount,modeId
211100000,0,0,0
211100000,0,0,1
211110000,0,0,0
211110000,0,0,1
211120000,0,0,0
211120000,0,0,1
211130000,0,0,0
211130000,0,0,1
211100010,0,0,0
211100010,0,0,1
211100020,0,0,0
211100020,0,0,1
211101000,0,0,0
211101000,0,0,1
211102000,0,0,0
211102000,0,0,1
211100100,0,0,0
211100100,0,0,1
211100001,0,0,0
211100001,0,0,1
211100002,0,0,0
211100002,0,0,1
212100000,0,0,0
212100000,0,0,1
212110000,0,0,0
212110000,0,0,1
212120000,0,0,0
212120000,0,0,1
212130000,0,0,0
212130000,0,0,1
212100010,0,0,0
212100010,0,0,1
212100020,0,0,0
212100020,0,0,1
212101000,0,0,0
212101000,0,0,1
212102000,0,0,0
212102000,0,0,1
212100100,0,0,0
212100100,0,0,1
212100001,0,0,0
212100001,0,0,1
212100002,0,0,0
212100002,0,0,1
211200000,0,0,0
211200000,0,0,1
211210000,0,0,0
211210000,0,0,1
211220000,0,0,0
211220000,0,0,1
211230000,0,0,0
211230000,0,0,1
211200010,0,0,0
211200010,0,0,1
211200020,0,0,0
211200020,0,0,1
211201000,0,0,0
211201000,0,0,1
211202000,0,0,0
211202000,0,0,1
211200100,0,0,0
211200100,0,0,1
211200001,0,0,0
211200001,0,0,1
211200002,0,0,0
211200002,0,0,1
212200000,0,0,0
212200000,0,0,1
212210000,0,0,0
212210000,0,0,1
212220000,0,0,0
212220000,0,0,1
212230000,0,0,0
212230000,0,0,1
212200010,0,0,0
212200010,0,0,1
212200020,0,0,0
212200020,0,0,1
212201000,0,0,0
212201000,0,0,1
212202000,0,0,0
212202000,0,0,1
212200100,0,0,0
212200100,0,0,1
212200001,0,0,0
212200001,0,0,1
212200002,0,0,0
212200002,0,0,1
221100000,0,0,0
221100000,0,0,1
221110000,0,0,0
221110000,0,0,1
221120000,0,0,0
221120000,0,0,1
221130000,0,0,0
221130000,0,0,1
221100010,0,0,0
221100010,0,0,1
221100020,0,0,0
221100020,0,0,1
221101000,0,0,0
221101000,0,0,1
221102000,0,0,0
221102000,0,0,1
221100100,0,0,0
221100100,0,0,1
221100001,0,0,0
221100001,0,0,1
221100002,0,0,0
221100002,0,0,1
222100000,0,0,0
222100000,0,0,1
222110000,0,0,0
222110000,0,0,1
222120000,0,0,0
222120000,0,0,1
222130000,0,0,0
222130000,0,0,1
222100010,0,0,0
222100010,0,0,1
222100020,0,0,0
222100020,0,0,1
222101000,0,0,0
222101000,0,0,1
222102000,0,0,0
222102000,0,0,1
222100100,0,0,0
222100100,0,0,1
222100001,0,0,0
222100001,0,0,1
222100002,0,0,0
222100002,0,0,1
221200000,0,0,0
221200000,0,0,1
221210000,0,0,0
221210000,0,0,1
221220000,0,0,0
221220000,0,0,1
221230000,0,0,0
221230000,0,0,1
221200010,0,0,0
221200010,0,0,1
221200020,0,0,0
221200020,0,0,1
221201000,0,0,0
221201000,0,0,1
221202000,0,0,0
221202000,0,0,1
221200100,0,0,0
221200100,0,0,1
221200001,0,0,0
221200001,0,0,1
221200002,0,0,0
221200002,0,0,1
222200000,0,0,0
222200000,0,0,1
222210000,0,0,0
222210000,0,0,1
222220000,0,0,0
222220000,0,0,1
222230000,0,0,0
222230000,0,0,1
222200010,0,0,0
222200010,0,0,1
222200020,0,0,0
222200020,0,0,1
222201000,0,0,0
222201000,0,0,1
222202000,0,0,0
222202000,0,0,1
222200100,0,0,0
222200100,0,0,1
222200001,0,0,0
222200001,0,0,1
222200002,0,0,0
222200002,0,0,1
231100000,0,0,0
231100000,0,0,1
231110000,0,0,0
231110000,0,0,1
231120000,0,0,0
231120000,0,0,1
231130000,0,0,0
231130000,0,0,1
231100010,0,0,0
231100010,0,0,1
231100020,0,0,0
231100020,0,0,1
231101000,0,0,0
231101000,0,0,1
231102000,0,0,0
231102000,0,0,1
231100100,0,0,0
231100100,0,0,1
231100001,0,0,0
231100001,0,0,1
231100002,0,0,0
231100002,0,0,1
232100000,0,0,0
232100000,0,0,1
232110000,0,0,0
232110000,0,0,1
232120000,0,0,0
232120000,0,0,1
232130000,0,0,0
232130000,0,0,1
232100010,0,0,0
232100010,0,0,1
232100020,0,0,0
232100020,0,0,1
232101000,0,0,0
232101000,0,0,1
232102000,0,0,0
232102000,0,0,1
232100100,0,0,0
232100100,0,0,1
232100001,0,0,0
232100001,0,0,1
232100002,0,0,0
232100002,0,0,1
231200000,0,0,0
231200000,0,0,1
231210000,0,0,0
231210000,0,0,1
231220000,0,0,0
231220000,0,0,1
231230000,0,0,0
231230000,0,0,1
231200010,0,0,0
231200010,0,0,1
231200020,0,0,0
231200020,0,0,1
231201000,0,0,0
231201000,0,0,1
231202000,0,0,0
231202000,0,0,1
231200100,0,0,0
231200100,0,0,1
231200001,0,0,0
231200001,0,0,1
231200002,0,0,0
231200002,0,0,1
232200000,0,0,0
232200000,0,0,1
232210000,0,0,0
232210000,0,0,1
232220000,0,0,0
232220000,0,0,1
232230000,0,0,0
232230000,0,0,1
232200010,0,0,0
232200010,0,0,1
232200020,0,0,0
232200020,0,0,1
232201000,0,0,0
232201000,0,0,1
232202000,0,0,0
232202000,0,0,1
232200100,0,0,0
232200100,0,0,1
232200001,0,0,0
232200001,0,0,1
232200002,0,0,0
232200002,0,0,1
241100000,0,0,0
241100000,0,0,1
241110000,0,0,0
241110000,0,0,1
241120000,0,0,0
241120000,0,0,1
241130000,0,0,0
241130000,0,0,1
241100010,0,0,0
241100010,0,0,1
241100020,0,0,0
241100020,0,0,1
241101000,0,0,0
241101000,0,0,1
241102000,0,0,0
241102000,0,0,1
241100100,0,0,0
241100100,0,0,1
241100001,0,0,0
241100001,0,0,1
241100002,0,0,0
241100002,0,0,1
242100000,0,0,0
242100000,0,0,1
242110000,0,0,0
242110000,0,0,1
242120000,0,0,0
242120000,0,0,1
242130000,0,0,0
242130000,0,0,1
242100010,0,0,0
242100010,0,0,1
242100020,0,0,0
242100020,0,0,1
242101000,0,0,0
242101000,0,0,1
242102000,0,0,0
242102000,0,0,1
242100100,0,0,0
242100100,0,0,1
242100001,0,0,0
242100001,0,0,1
242100002,0,0,0
242100002,0,0,1
241200000,0,0,0
241200000,0,0,1
241210000,0,0,0
241210000,0,0,1
241220000,0,0,0
241220000,0,0,1
241230000,0,0,0
241230000,0,0,1
241200010,0,0,0
241200010,0,0,1
241200020,0,0,0
241200020,0,0,1
241201000,0,0,0
241201000,0,0,1
241202000,0,0,0
241202000,0,0,1
241200100,0,0,0
241200100,0,0,1
241200001,0,0,0
241200001,0,0,1
241200002,0,0,0
241200002,0,0,1
242200000,0,0,0
242200000,0,0,1
242210000,0,0,0
242210000,0,0,1
242220000,0,0,0
242220000,0,0,1
242230000,0,0,0
242230000,0,0,1
242200010,0,0,0
242200010,0,0,1
242200020,0,0,0
242200020,0,0,1
242201000,0,0,0
242201000,0,0,1
242202000,0,0,0
242202000,0,0,1
242200100,0,0,0
242200100,0,0,1
242200001,0,0,0
242200001,0,0,1
242200002,0,0,0
242200002,0,0,1
251100000,0,0,0
251100000,0,0,1
251110000,0,0,0
251110000,0,0,1
251120000,0,0,0
251120000,0,0,1
251130000,0,0,0
251130000,0,0,1
251100010,0,0,0
251100010,0,0,1
251100020,0,0,0
251100020,0,0,1
251101000,0,0,0
251101000,0,0,1
251102000,0,0,0
251102000,0,0,1
251100100,0,0,0
251100100,0,0,1
251100001,0,0,0
251100001,0,0,1
251100002,0,0,0
251100002,0,0,1
252100000,0,0,0
252100000,0,0,1
252110000,0,0,0
252110000,0,0,1
252120000,0,0,0
252120000,0,0,1
252130000,0,0,0
252130000,0,0,1
252100010,0,0,0
252100010,0,0,1
252100020,0,0,0
252100020,0,0,1
252101000,0,0,0
252101000,0,0,1
252102000,0,0,0
252102000,0,0,1
252100100,0,0,0
252100100,0,0,1
252100001,0,0,0
252100001,0,0,1
252100002,0,0,0
252100002,0,0,1
251200000,0,0,0
251200000,0,0,1
251210000,0,0,0
251210000,0,0,1
251220000,0,0,0
251220000,0,0,1
251230000,0,0,0
251230000,0,0,1
251200010,0,0,0
251200010,0,0,1
