cohortDefinitionId,ruleSequence,personCount,gainCount,personTotal,modeId
311100000,5,0,0,0,0
311100000,2,0,0,0,0
311100000,6,0,0,0,0
311100000,3,0,0,0,0
311100000,4,0,0,0,0
311100000,1,0,0,0,0
311100000,0,0,0,0,0
311100000,5,0,0,0,1
311100000,2,0,0,0,1
311100000,6,0,0,0,1
311100000,3,0,0,0,1
311100000,4,0,0,0,1
311100000,1,0,0,0,1
311100000,0,0,0,0,1
311110000,2,0,0,0,0
311110000,1,0,0,0,0
311110000,6,0,0,0,0
311110000,3,0,0,0,0
311110000,4,0,0,0,0
311110000,0,0,0,0,0
311110000,7,0,0,0,0
311110000,5,0,0,0,0
311110000,2,0,0,0,1
311110000,1,0,0,0,1
311110000,6,0,0,0,1
311110000,3,0,0,0,1
311110000,4,0,0,0,1
311110000,0,0,0,0,1
311110000,7,0,0,0,1
311110000,5,0,0,0,1
311120000,2,0,0,0,0
311120000,1,0,0,0,0
311120000,6,0,0,0,0
311120000,3,0,0,0,0
311120000,4,0,0,0,0
311120000,0,0,0,0,0
311120000,7,0,0,0,0
311120000,5,0,0,0,0
311120000,2,0,0,0,1
311120000,1,0,0,0,1
311120000,6,0,0,0,1
311120000,3,0,0,0,1
311120000,4,0,0,0,1
311120000,0,0,0,0,1
311120000,7,0,0,0,1
311120000,5,0,0,0,1
311130000,2,0,0,0,0
311130000,1,0,0,0,0
311130000,6,0,0,0,0
311130000,3,0,0,0,0
311130000,4,0,0,0,0
311130000,0,0,0,0,0
311130000,7,0,0,0,0
311130000,5,0,0,0,0
311130000,2,0,0,0,1
311130000,1,0,0,0,1
311130000,6,0,0,0,1
311130000,3,0,0,0,1
311130000,4,0,0,0,1
311130000,0,0,0,0,1
311130000,7,0,0,0,1
311130000,5,0,0,0,1
311100010,2,0,0,0,0
311100010,1,0,0,0,0
311100010,6,0,0,0,0
311100010,3,0,0,0,0
311100010,4,0,0,0,0
311100010,0,0,0,0,0
311100010,7,0,0,0,0
311100010,5,0,0,0,0
311100010,2,0,0,0,1
311100010,1,0,0,0,1
311100010,6,0,0,0,1
311100010,3,0,0,0,1
311100010,4,0,0,0,1
311100010,0,0,0,0,1
311100010,7,0,0,0,1
311100010,5,0,0,0,1
311100020,2,0,0,0,0
311100020,1,0,0,0,0
311100020,6,0,0,0,0
311100020,3,0,0,0,0
311100020,4,0,0,0,0
311100020,0,0,0,0,0
311100020,7,0,0,0,0
311100020,5,0,0,0,0
311100020,2,0,0,0,1
311100020,1,0,0,0,1
311100020,6,0,0,0,1
311100020,3,0,0,0,1
311100020,4,0,0,0,1
311100020,0,0,0,0,1
311100020,7,0,0,0,1
311100020,5,0,0,0,1
311101000,2,0,0,0,0
311101000,1,0,0,0,0
311101000,6,0,0,0,0
311101000,3,0,0,0,0
311101000,4,0,0,0,0
311101000,0,0,0,0,0
311101000,7,0,0,0,0
311101000,5,0,0,0,0
311101000,2,0,0,0,1
311101000,1,0,0,0,1
311101000,6,0,0,0,1
311101000,3,0,0,0,1
311101000,4,0,0,0,1
311101000,0,0,0,0,1
311101000,7,0,0,0,1
311101000,5,0,0,0,1
311102000,2,0,0,0,0
311102000,1,0,0,0,0
311102000,6,0,0,0,0
311102000,3,0,0,0,0
311102000,4,0,0,0,0
311102000,0,0,0,0,0
311102000,7,0,0,0,0
311102000,5,0,0,0,0
311102000,2,0,0,0,1
311102000,1,0,0,0,1
