cohortDefinitionId,ruleSequence,name
3110000,0,No prior with-in class exposure
3110000,1,No prior DPP4 inhibitor exposure
3110000,2,No prior GLP-1 receptor agonist exposure
3110000,3,No prior SU exposure
3110000,4,No prior other anti-diabetic exposure
3110000,5,Prior metformin use
3110000,6,No prior insulin use or combo initiation
3110001,0,No prior with-in class exposure
3110001,1,No prior DPP4 inhibitor exposure
3110001,2,No prior GLP-1 receptor agonist exposure
3110001,3,No prior SU exposure
3110001,4,No prior other anti-diabetic exposure
3110001,5,Prior metformin use
3110001,6,No prior metformin use
3110001,7,Without obesity
3110002,0,No prior with-in class exposure
3110002,1,No prior DPP4 inhibitor exposure
3110002,2,No prior GLP-1 receptor agonist exposure
3110002,3,No prior SU exposure
3110002,4,No prior other anti-diabetic exposure
3110002,5,Prior metformin use
3110002,6,No prior metformin use
3110002,7,with obesity
3110010,0,No prior with-in class exposure
3110010,1,No prior DPP4 inhibitor exposure
3110010,2,No prior GLP-1 receptor agonist exposure
3110010,3,No prior SU exposure
3110010,4,No prior other anti-diabetic exposure
3110010,5,Female stratum
3110010,6,Prior metformin use
3110010,7,No prior insulin use or combo initiation
3110030,0,No prior with-in class exposure
3110030,1,No prior DPP4 inhibitor exposure
3110030,2,No prior GLP-1 receptor agonist exposure
3110030,3,No prior SU exposure
3110030,4,No prior other anti-diabetic exposure
3110030,5,Male stratum
3110030,6,Prior metformin use
3110030,7,No prior insulin use or combo initiation
3110100,0,No prior with-in class exposure
3110100,1,No prior DPP4 inhibitor exposure
3110100,2,No prior GLP-1 receptor agonist exposure
3110100,3,No prior SU exposure
3110100,4,No prior other anti-diabetic exposure
3110100,5,Lower age group
3110100,6,Prior metformin use
3110100,7,No prior insulin use or combo initiation
3110300,0,No prior with-in class exposure
3110300,1,No prior DPP4 inhibitor exposure
3110300,2,No prior GLP-1 receptor agonist exposure
3110300,3,No prior SU exposure
3110300,4,No prior other anti-diabetic exposure
3110300,5,Young age group
3110300,6,Prior metformin use
3110300,7,No prior insulin use or combo initiation
3111000,0,No prior with-in class exposure
3111000,1,No prior DPP4 inhibitor exposure
3111000,2,No prior GLP-1 receptor agonist exposure
3111000,3,No prior SU exposure
3111000,4,No prior other anti-diabetic exposure
3111000,5,No prior metformin use
3111000,6,No prior insulin use or combo initiation
3111001,0,No prior with-in class exposure
3111001,1,No prior DPP4 inhibitor exposure
3111001,2,No prior GLP-1 receptor agonist exposure
3111001,3,No prior SU exposure
3111001,4,No prior other anti-diabetic exposure
3111001,5,Prior metformin use
3111001,6,No prior insulin use or combo initiation
3111001,7,Without obesity
3111002,0,No prior with-in class exposure
3111002,1,No prior DPP4 inhibitor exposure
3111002,2,No prior GLP-1 receptor agonist exposure
3111002,3,No prior SU exposure
3111002,4,No prior other anti-diabetic exposure
3111002,5,Prior metformin use
3111002,6,No prior insulin use or combo initiation
3111002,7,with obesity
3111010,0,No prior with-in class exposure
3111010,1,No prior DPP4 inhibitor exposure
3111010,2,No prior GLP-1 receptor agonist exposure
3111010,3,No prior SU exposure
3111010,4,No prior other anti-diabetic exposure
3111010,5,Female stratum
3111010,6,No prior metformin use
3111010,7,No prior insulin use or combo initiation
3111030,0,No prior with-in class exposure
3111030,1,No prior DPP4 inhibitor exposure
3111030,2,No prior GLP-1 receptor agonist exposure
3111030,3,No prior SU exposure
3111030,4,No prior other anti-diabetic exposure
3111030,5,Male stratum
3111030,6,No prior metformin use
3111030,7,No prior insulin use or combo initiation
3111100,0,No prior with-in class exposure
3111100,1,No prior DPP4 inhibitor exposure
3111100,2,No prior GLP-1 receptor agonist exposure
3111100,3,No prior SU exposure
3111100,4,No prior other anti-diabetic exposure
3111100,5,Lower age group
3111100,6,No prior metformin use
3111100,7,No prior insulin use or combo initiation
3111300,0,No prior with-in class exposure
3111300,1,No prior DPP4 inhibitor exposure
3111300,2,No prior GLP-1 receptor agonist exposure
3111300,3,No prior SU exposure
3111300,4,No prior other anti-diabetic exposure
3111300,5,Young age group
3111300,6,No prior metformin use
3111300,7,No prior insulin use or combo initiation
3120000,0,No prior with-in class exposure
3120000,1,No prior DPP4 inhibitor exposure
3120000,2,No prior GLP-1 receptor agonist exposure
3120000,3,No prior SU exposure
3120000,4,No prior other anti-diabetic exposure
3120000,5,Prior metformin use
3120000,6,No prior insulin use or combo initiation
3120001,0,No prior with-in class exposure
3120001,1,No prior DPP4 inhibitor exposure
3120001,2,No prior GLP-1 receptor agonist exposure
3120001,3,No prior SU exposure
3120001,4,No prior other anti-diabetic exposure
3120001,5,Prior metformin use
3120001,6,No prior metformin use
3120001,7,Without obesity
3120002,0,No prior with-in class exposure
3120002,1,No prior DPP4 inhibitor exposure
3120002,2,No prior GLP-1 receptor agonist exposure
3120002,3,No prior SU exposure
3120002,4,No prior other anti-diabetic exposure
3120002,5,Prior metformin use
3120002,6,No prior metformin use
3120002,7,with obesity
3120010,0,No prior with-in class exposure
3120010,1,No prior DPP4 inhibitor exposure
3120010,2,No prior GLP-1 receptor agonist exposure
3120010,3,No prior SU exposure
3120010,4,No prior other anti-diabetic exposure
3120010,5,Female stratum
3120010,6,Prior metformin use
3120010,7,No prior insulin use or combo initiation
3120030,0,No prior with-in class exposure
3120030,1,No prior DPP4 inhibitor exposure
3120030,2,No prior GLP-1 receptor agonist exposure
3120030,3,No prior SU exposure
3120030,4,No prior other anti-diabetic exposure
3120030,5,Male stratum
3120030,6,Prior metformin use
3120030,7,No prior insulin use or combo initiation
3120100,0,No prior with-in class exposure
3120100,1,No prior DPP4 inhibitor exposure
3120100,2,No prior GLP-1 receptor agonist exposure
3120100,3,No prior SU exposure
3120100,4,No prior other anti-diabetic exposure
3120100,5,Lower age group
3120100,6,Prior metformin use
3120100,7,No prior insulin use or combo initiation
3120300,0,No prior with-in class exposure
3120300,1,No prior DPP4 inhibitor exposure
3120300,2,No prior GLP-1 receptor agonist exposure
3120300,3,No prior SU exposure
3120300,4,No prior other anti-diabetic exposure
3120300,5,Young age group
3120300,6,Prior metformin use
3120300,7,No prior insulin use or combo initiation
3121000,0,No prior with-in class exposure
3121000,1,No prior DPP4 inhibitor exposure
3121000,2,No prior GLP-1 receptor agonist exposure
3121000,3,No prior SU exposure
3121000,4,No prior other anti-diabetic exposure
3121000,5,No prior metformin use
3121000,6,No prior insulin use or combo initiation
3121001,0,No prior with-in class exposure
3121001,1,No prior DPP4 inhibitor exposure
3121001,2,No prior GLP-1 receptor agonist exposure
3121001,3,No prior SU exposure
3121001,4,No prior other anti-diabetic exposure
3121001,5,Prior metformin use
3121001,6,No prior insulin use or combo initiation
3121001,7,Without obesity
3121002,0,No prior with-in class exposure
3121002,1,No prior DPP4 inhibitor exposure
3121002,2,No prior GLP-1 receptor agonist exposure
3121002,3,No prior SU exposure
3121002,4,No prior other anti-diabetic exposure
3121002,5,Prior metformin use
3121002,6,No prior insulin use or combo initiation
3121002,7,with obesity
3121010,0,No prior with-in class exposure
3121010,1,No prior DPP4 inhibitor exposure
3121010,2,No prior GLP-1 receptor agonist exposure
3121010,3,No prior SU exposure
3121010,4,No prior other anti-diabetic exposure
3121010,5,Female stratum
3121010,6,No prior metformin use
3121010,7,No prior insulin use or combo initiation
3121030,0,No prior with-in class exposure
3121030,1,No prior DPP4 inhibitor exposure
3121030,2,No prior GLP-1 receptor agonist exposure
3121030,3,No prior SU exposure
3121030,4,No prior other anti-diabetic exposure
3121030,5,Male stratum
3121030,6,No prior metformin use
3121030,7,No prior insulin use or combo initiation
3121100,0,No prior with-in class exposure
3121100,1,No prior DPP4 inhibitor exposure
3121100,2,No prior GLP-1 receptor agonist exposure
3121100,3,No prior SU exposure
3121100,4,No prior other anti-diabetic exposure
3121100,5,Lower age group
3121100,6,No prior metformin use
3121100,7,No prior insulin use or combo initiation
3121300,0,No prior with-in class exposure
3121300,1,No prior DPP4 inhibitor exposure
3121300,2,No prior GLP-1 receptor agonist exposure
3121300,3,No prior SU exposure
3121300,4,No prior other anti-diabetic exposure
3121300,5,Young age group
3121300,6,No prior metformin use
3121300,7,No prior insulin use or combo initiation
3210000,0,No prior with-in class exposure
3210000,1,No prior DPP4 inhibitor exposure
3210000,2,No prior GLP-1 receptor agonist exposure
3210000,3,No prior SU exposure
3210000,4,No prior other anti-diabetic exposure
3210000,5,Prior metformin use
3210000,6,No prior insulin use or combo initiation
3210001,0,No prior with-in class exposure
3210001,1,No prior DPP4 inhibitor exposure
3210001,2,No prior GLP-1 receptor agonist exposure
3210001,3,No prior SU exposure
3210001,4,No prior other anti-diabetic exposure
3210001,5,Prior metformin use
3210001,6,No prior metformin use
3210001,7,Without obesity
3210002,0,No prior with-in class exposure
3210002,1,No prior DPP4 inhibitor exposure
3210002,2,No prior GLP-1 receptor agonist exposure
3210002,3,No prior SU exposure
3210002,4,No prior other anti-diabetic exposure
