cohortDefinitionId,baseCount,finalCount,modeId
3110000,0,0,0
3110000,0,0,1
3110001,0,0,0
3110001,0,0,1
3110002,0,0,0
3110002,0,0,1
3110010,0,0,0
3110010,0,0,1
3110030,0,0,0
3110030,0,0,1
3110100,0,0,0
3110100,0,0,1
3110300,0,0,0
3110300,0,0,1
3111000,0,0,0
3111000,0,0,1
3111001,0,0,0
3111001,0,0,1
3111002,0,0,0
3111002,0,0,1
3111010,0,0,0
3111010,0,0,1
3111030,0,0,0
3111030,0,0,1
3111100,0,0,0
3111100,0,0,1
3111300,0,0,0
3111300,0,0,1
3120000,0,0,0
3120000,0,0,1
3120001,0,0,0
3120001,0,0,1
3120002,0,0,0
3120002,0,0,1
3120010,0,0,0
3120010,0,0,1
3120030,0,0,0
3120030,0,0,1
3120100,0,0,0
3120100,0,0,1
3120300,0,0,0
3120300,0,0,1
3121000,0,0,0
3121000,0,0,1
3121001,0,0,0
3121001,0,0,1
3121002,0,0,0
3121002,0,0,1
3121010,0,0,0
3121010,0,0,1
3121030,0,0,0
3121030,0,0,1
3121100,0,0,0
3121100,0,0,1
3121300,0,0,0
3121300,0,0,1
3210000,0,0,0
3210000,0,0,1
3210001,0,0,0
3210001,0,0,1
3210002,0,0,0
3210002,0,0,1
3210010,0,0,0
3210010,0,0,1
3210030,0,0,0
3210030,0,0,1
3210100,0,0,0
3210100,0,0,1
3210300,0,0,0
3210300,0,0,1
3211000,0,0,0
3211000,0,0,1
3211001,0,0,0
3211001,0,0,1
3211002,0,0,0
3211002,0,0,1
3211010,0,0,0
3211010,0,0,1
3211030,0,0,0
3211030,0,0,1
3211100,0,0,0
3211100,0,0,1
3211300,0,0,0
3211300,0,0,1
3220000,0,0,0
3220000,0,0,1
3220001,0,0,0
3220001,0,0,1
3220002,0,0,0
3220002,0,0,1
3220010,0,0,0
3220010,0,0,1
3220030,0,0,0
3220030,0,0,1
3220100,0,0,0
3220100,0,0,1
3220300,0,0,0
3220300,0,0,1
3221000,0,0,0
3221000,0,0,1
3221001,0,0,0
3221001,0,0,1
3221002,0,0,0
3221002,0,0,1
3221010,0,0,0
3221010,0,0,1
3221030,0,0,0
3221030,0,0,1
3221100,0,0,0
3221100,0,0,1
3221300,0,0,0
3221300,0,0,1
3310000,0,0,0
3310000,0,0,1
3310001,0,0,0
3310001,0,0,1
3310002,0,0,0
3310002,0,0,1
3310010,0,0,0
3310010,0,0,1
3310030,0,0,0
3310030,0,0,1
3310100,0,0,0
3310100,0,0,1
3310300,0,0,0
3310300,0,0,1
3311000,0,0,0
3311000,0,0,1
3311001,0,0,0
3311001,0,0,1
3311002,0,0,0
3311002,0,0,1
3311010,0,0,0
3311010,0,0,1
3311030,0,0,0
3311030,0,0,1
3311100,0,0,0
3311100,0,0,1
3311300,0,0,0
3311300,0,0,1
3320000,0,0,0
3320000,0,0,1
3320001,0,0,0
3320001,0,0,1
3320002,0,0,0
3320002,0,0,1
3320010,0,0,0
3320010,0,0,1
3320030,0,0,0
3320030,0,0,1
3320100,0,0,0
3320100,0,0,1
3320300,0,0,0
3320300,0,0,1
3321000,0,0,0
3321000,0,0,1
3321001,0,0,0
3321001,0,0,1
3321002,0,0,0
3321002,0,0,1
3321010,0,0,0
3321010,0,0,1
3321030,0,0,0
3321030,0,0,1
3321100,0,0,0
3321100,0,0,1
3321300,0,0,0
3321300,0,0,1
3410000,0,0,0
3410000,0,0,1
3410001,0,0,0
3410001,0,0,1
3410002,0,0,0
3410002,0,0,1
3410010,0,0,0
3410010,0,0,1
3410030,0,0,0
3410030,0,0,1
3410100,0,0,0
3410100,0,0,1
3410300,0,0,0
3410300,0,0,1
3411000,0,0,0
3411000,0,0,1
3411001,0,0,0
3411001,0,0,1
3411002,0,0,0
3411002,0,0,1
3411010,0,0,0
3411010,0,0,1
3411030,0,0,0
3411030,0,0,1
3411100,0,0,0
3411100,0,0,1
3411300,0,0,0
3411300,0,0,1
3420000,0,0,0
3420000,0,0,1
3420001,0,0,0
3420001,0,0,1
3420002,0,0,0
3420002,0,0,1
3420010,0,0,0
3420010,0,0,1
3420030,0,0,0
3420030,0,0,1
3420100,0,0,0
3420100,0,0,1
3420300,0,0,0
3420300,0,0,1
3421000,0,0,0
3421000,0,0,1
3421001,0,0,0
3421001,0,0,1
3421002,0,0,0
3421002,0,0,1
3421010,0,0,0
3421010,0,0,1
3421030,0,0,0
3421030,0,0,1
3421100,0,0,0
3421100,0,0,1
3421300,0,0,0
3421300,0,0,1
